META; english/premier-league/chelsea-v-west-ham; 2018-03-18 14:16:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 31/00; 2/9; 1/3; 2/7; 2/7; 30/00; 3/10; 3/10; 3/11; 1/4; 4/13; 2/9; 
Draw; 17/4; 17/4; 51/10; 7/2; 4; 9/2; 17/4; 9/2; 9/2; 21/5; 22/5; 19/4; 17/4; 21/5; 10/3
West Ham; 10; 10; 21/2; 9; 11; 10; 10; 17/2; 8; 14; 10; 35/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-18 18:16:29 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 31/00; 2/9; 2/9; 1/3; 2/7; 2/7; 30/00; 3/10; 3/10; 3/11; 1/3; 1/4; 3/10; 2/9; 
Draw; 17/4; 17/4; 51/10; 15/4; 7/2; 4; 9/2; 9/2; 9/2; 9/2; 21/5; 22/5; 4; 19/4; 17/4; 17/4; 10/3
West Ham; 10; 10; 21/2; 19/2; 9; 11; 11; 10; 35/4; 8; 15/2; 14; 10; 35/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 02:28:23 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 31/00; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 49/10; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 10:28:24 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 31/00; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 49/10; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 14:28:25 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 3/10; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 26/5; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 18:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 4; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5; 
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 22:28:28 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 02:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 10:28:28 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 10; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 14:28:26 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 18:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 22:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 02:28:31 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 10:28:31 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 5/18; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 22/5; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 37/4; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 14:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 18:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 22:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 02:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 10:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 3/11; 1/4; 5/19; 1/4; 1/4; 1/4; 3/11; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 49/11; 5; 22/5; 19/4; 19/4; 9/2; 9/2; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 39/4; 11; 43/5; 21/2; 14; 11; 39/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 14:28:35 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 79/17; 5; 22/5; 19/4; 19/4; 9/2; 47/10; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 18:28:34 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 30/00; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 9/2; 47/10; 5; 22/5; 19/4; 5; 9/2; 47/10; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 22:28:33 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 2/7; 2/7; 30/00; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 53/10; 5; 19/4; 9/2; 63/13; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 19/4; 19/4; 24/5; 19/4; 19/4; 9/2; 24/5; 24/5; 9/2; 5; ; 
West Ham; 11; 10; 12; 11; 23/2; 12; 11; 11; 11; 11; 11; 12; 11; 11; 10; 43/4; 11; 11; 21/2; 14; 12; 43/4; 62/5; 51/5; 54/5; 64/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-03 10:15:58 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 2/9; 1/4; 1/5; 5/19; 1/4; 1/4; 1/4; 2/7; 2/7; 2/7; 1/4; 4/17; 5/19; 3/11; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 9/2; 4; 53/10; 5; 19/4; 9/2; 63/13; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 19/4; 19/4; 24/5; 19/4; 19/4; 9/2; 24/5; 24/5; 5; 5; ; 
West Ham; 11; 10; 12; 11; 23/2; 12; 11; 11; 11; 11; 11; 12; 11; 11; 10; 43/4; 11; 11; 21/2; 14; 12; 43/4; 62/5; 61/5; 54/5; 64/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-03 14:15:59 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 2/9; 1/4; 1/5; 5/19; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 4/17; 5/19; 3/11; 5/19; 1/4; 1/4; 4/17; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 9/2; 4; 53/10; 5; 19/4; 9/2; 63/13; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 24/5; 19/4; 24/5; 19/4; 19/4; 9/2; 63/13; 24/5; 5; 5; ; 
West Ham; 11; 10; 11; 11; 23/2; 12; 11; 11; 11; 11; 12; 12; 11; 11; 10; 43/4; 11; 11; 21/2; 14; 12; 43/4; 59/5; 54/5; 54/5; 61/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-03 18:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 2/9; 1/4; 1/5; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 4/17; 5/19; 3/11; 5/19; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7
Draw; 9/2; 17/4; 19/4; 4; 53/10; 5; 9/2; 63/13; 9/2; 9/2; 9/2; 9/2; 19/4; 5; 63/13; 19/4; 24/5; 19/4; 19/4; 9/2; 49/10; 24/5; 21/5; 26/5; 5; ; 
West Ham; 11; 10; 12; 11; 23/2; 12; 11; 11; 11; 12; 11; 11; 11; 11; 19/2; 21/2; 11; 11; 21/2; 11; 11; 21/2; 57/5; 49/5; 51/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-03 22:15:59 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 1/4; 1/4; 2/7; 29/100; 2/9; 1/4; 1/5; 5/19; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 1/4; 5/19; 3/11; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7
Draw; 9/2; 19/4; 9/2; 4; 53/10; 5; 9/2; 63/13; 19/4; 9/2; 9/2; 9/2; 9/2; 5; 94/19; 19/4; 24/5; 19/4; 19/4; 9/2; 5; 24/5; 5; 26/5; 5; ; 
West Ham; 11; 11; 11; 11; 23/2; 12; 11; 11; 11; 12; 11; 11; 11; 11; 19/2; 11; 11; 11; 21/2; 11; 11; 11; 57/5; 56/5; 54/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-04 02:16:03 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 2/9; 1/4; 1/5; 5/19; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 1/4; 5/19; 3/11; 5/19; 2/7; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7
Draw; 9/2; 17/4; 9/2; 4; 53/10; 5; 9/2; 63/13; 19/4; 9/2; 9/2; 9/2; 9/2; 5; 94/19; 19/4; 24/5; 19/4; 19/4; 9/2; 5; 24/5; 4; 26/5; 5; ; 
West Ham; 11; 10; 11; 11; 23/2; 12; 11; 11; 11; 12; 11; 12; 11; 11; 10; 11; 11; 11; 21/2; 14; 11; 11; 57/5; 46/5; 54/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-04 10:15:59 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 2/9; 1/4; 1/5; 5/19; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 1/4; 5/19; 3/11; 5/19; 2/7; 1/4; 5/19; 1/4; 1/4; 2/7; 2/7
Draw; 9/2; 9/2; 9/2; 4; 53/10; 5; 9/2; 63/13; 19/4; 9/2; 9/2; 9/2; 9/2; 5; 49/10; 19/4; 24/5; 19/4; 19/4; 9/2; 94/19; 24/5; 5; 26/5; 5; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 12; 11; 12; 11; 11; 19/2; 43/4; 11; 11; 21/2; 14; 11; 11; 57/5; 56/5; 54/5; 59/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-04 14:16:01 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 2/9; 1/4; 1/5; 5/19; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 1/4; 5/19; 5/18; 5/19; 1/4; 5/19; 1/4; 1/4; 2/7; 2/7
Draw; 9/2; 17/4; 9/2; 4; 53/10; 5; 9/2; 63/13; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 49/10; 19/4; 5; 19/4; 5; 9/2; 94/19; 24/5; 5; 26/5; 5; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 11; 11; 12; 11; 11; 19/2; 43/4; 11; 10; 21/2; 11; 11; 43/4; 57/5; 56/5; 54/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-04 18:16:01 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 1/4; 5/19; 5/18; 5/19; 2/7; 1/4; 5/19; 1/4; 1/4; 2/7; 2/7
Draw; 9/2; 9/2; 9/2; 4; 53/10; 5; 5; 21/4; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 94/19; 19/4; 5; 51/10; 5; 9/2; 5; 24/5; 5; 26/5; 5; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 11; 11; 12; 11; 11; 19/2; 43/4; 11; 10; 21/2; 11; 11; 43/4; 54/5; 56/5; 54/5; 59/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-04 22:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 5/19; 5/19; 5/18; 5/19; 2/7; 1/4; 5/19; 1/4; 1/4; 2/7; 2/7
Draw; 9/2; 9/2; 9/2; 4; 53/10; 5; 5; 21/4; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 96/19; 19/4; 5; 51/10; 5; 9/2; 51/10; 24/5; 5; 26/5; 5; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 11; 11; 10; 11; 11; 19/2; 45/4; 11; 10; 21/2; 11; 11; 45/4; 57/5; 56/5; 54/5; 59/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-05 02:15:59 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 5/19; 5/19; 5/18; 5/19; 2/7; 1/4; 5/19; 1/4; 1/4; 2/7; 2/7
Draw; 9/2; 9/2; 9/2; 4; 53/10; 5; 5; 21/4; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 96/19; 19/4; 5; 51/10; 5; 9/2; 51/10; 24/5; 23/5; 26/5; 5; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 11; 11; 12; 11; 11; 19/2; 45/4; 11; 10; 21/2; 11; 11; 45/4; 57/5; 49/5; 54/5; 59/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-05 10:15:58 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 5/19; 5/19; 5/18; 5/19; 2/7; 5/19; 1/4; 1/4; 2/7; 2/7
Draw; 5; 17/4; 9/2; 4; 53/10; 5; 5; 21/4; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 96/19; 19/4; 5; 51/10; 5; 51/10; 24/5; 5; 26/5; 5; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 11; 11; 12; 11; 11; 19/2; 45/4; 11; 10; 21/2; 11; 45/4; 59/5; 59/5; 54/5; 61/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-05 14:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 3/11; 5/19; 3/11; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 2/7
Draw; 5; 17/4; 9/2; 4; 53/10; 5; 5; 21/4; 19/4; 9/2; 9/2; 9/2; 9/2; 5; 49/10; 19/4; 5; 51/10; 5; 94/19; 24/5; 5; 26/5; 5; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 12; 11; 12; 11; 11; 19/2; 43/4; 11; 10; 21/2; 11; 43/4; 59/5; 59/5; 54/5; 61/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-05 18:16:01 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 3/11; 5/19; 5/18; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 1/4
Draw; 5; 17/4; 9/2; 4; 11/2; 5; 5; 21/4; 19/4; 9/2; 9/2; 9/2; 5; 4; 49/10; 19/4; 5; 51/10; 5; 94/19; 24/5; 5; 26/5; 5; ; 
West Ham; 11; 11; 11; 11; 12; 11; 11; 11; 12; 11; 10; 11; 12; 19/2; 43/4; 11; 10; 21/2; 11; 43/4; 59/5; 59/5; 54/5; 61/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-05 22:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 1/4; 3/11; 5/19; 5/18; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 1/4
Draw; 5; 17/4; 9/2; 4; 53/10; 5; 5; 21/4; 19/4; 5; 9/2; 9/2; 5; 4; 94/19; 19/4; 5; 51/10; 5; 24/5; 5; 5; ; ; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 12; 11; 10; 11; 12; 19/2; 43/4; 11; 10; 21/2; 11; 11; 59/5; 61/5; 59/5; 61/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-06 02:15:59 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 1/4; 3/11; 5/19; 5/18; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 1/4
Draw; 5; 17/4; 9/2; 4; 53/10; 5; 5; 21/4; 19/4; 5; 9/2; 9/2; 5; 4; 94/19; 19/4; 5; 51/10; 5; 5; 23/5; 26/5; 26/5; ; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 11; 12; 11; 10; 11; 12; 19/2; 43/4; 11; 10; 21/2; 11; 11; 59/5; 51/5; 59/5; 61/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-06 10:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 5/18; 5/19; 2/7; 3/11; 1/4; 2/7; 1/4
Draw; 5; 9/2; 9/2; 4; 53/10; 11/2; 5; 21/4; 19/4; 5; 9/2; 9/2; 5; 4; 94/19; 19/4; 5; 51/10; 5; 24/5; 4; 5; ; ; 
West Ham; 11; 11; 11; 23/2; 12; 10; 11; 11; 11; 10; 10; 11; 12; 10; 17/2; 43/4; 10; 10; 21/2; 11; 43/4; 59/5; 49/5; 59/5; 61/5
META; english/premier-league/chelsea-v-west-ham; 2018-04-06 14:16:03 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
